Title,URL handle,Description,Vendor,Product category,Type,Tags,Published on online store,Status,SKU,Barcode,Option1 name,Option1 value,Option1 Linked To,Option2 name,Option2 value,Option2 Linked To,Option3 name,Option3 value,Option3 Linked To,Price,Compare-at price,Cost per item,Charge tax,Tax code,Unit price total measure,Unit price total measure unit,Unit price base measure,Unit price base measure unit,Inventory tracker,Inventory quantity,Continue selling when out of stock,Weight value (grams),Weight unit for display,Requires shipping,Fulfillment service,Product image URL,Image position,Image alt text,Variant image URL,Gift card,SEO title,SEO description,Color (product.metafields.shopify.color-pattern),Google Shopping / Google product category,Google Shopping / Gender,Google Shopping / Age group,Google Shopping / Manufacturer part number (MPN),Google Shopping / Ad group name,Google Shopping / Ads labels,Google Shopping / Condition,Google Shopping / Custom product,Google Shopping / Custom label 0,Google Shopping / Custom label 1,Google Shopping / Custom label 2,Google Shopping / Custom label 3,Google Shopping / Custom label 4
,sandra-pants,,,,,,,,SANDRA-PANTS-BROWN-ML,,,Brown,,,M/L,,,,,195.00,,,TRUE,,,,,,shopify,3,DENY,,g,TRUE,manual,,,,https://www.zappstudios.us/_tmp/pecan-drop2/30bec03c85f7.jpg,,,,,,,,,,,,,,,,,
,sandra-pants,,,,,,,,SANDRA-PANTS-WHITE-SM,,,White,,,S/M,,,,,195.00,,,TRUE,,,,,,shopify,2,DENY,,g,TRUE,manual,,,,https://www.zappstudios.us/_tmp/pecan-drop2/30bec03c85f7.jpg,,,,,,,,,,,,,,,,,
,sandra-pants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.zappstudios.us/_tmp/pecan-drop2/95250ebc3672.jpg,2,Sandra Pants 2,,,,,,,,,,,,,,,,,,
,sandra-pants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.zappstudios.us/_tmp/pecan-drop2/0eea3c80b82d.jpg,3,Sandra Pants 3,,,,,,,,,,,,,,,,,,
Shiloh (Top),shiloh-top,"<p>The Shiloh top, available in Yellow and Pink.</p>",Pecan Moon,Apparel & Accessories > Clothing > Shirts & Tops,Top,"drop-2-launch, drop-2-draft",FALSE,draft,SHILOH-TOP-YELLOW-S,,Color,Yellow,,Size,S,,,,,140.00,,,TRUE,,,,,,shopify,1,DENY,,g,TRUE,manual,https://www.zappstudios.us/_tmp/pecan-drop2/dbec56b9d398.jpg,1,Shiloh (Top),https://www.zappstudios.us/_tmp/pecan-drop2/dbec56b9d398.jpg,FALSE,Shiloh (Top) — Pecan Moon,"The Shiloh top, available in Yellow and Pink.",yellow; pink,,Female,Adult,,,,New,,,,,,
,shiloh-top,,,,,,,,SHILOH-TOP-YELLOW-M,,,Yellow,,,M,,,,,140.00,,,TRUE,,,,,,shopify,3,DENY,,g,TRUE,manual,,,,https://www.zappstudios.us/_tmp/pecan-drop2/dbec56b9d398.jpg,,,,,,,,,,,,,,,,,
,shiloh-top,,,,,,,,SHILOH-TOP-YELLOW-L,,,Yellow,,,L,,,,,140.00,,,TRUE,,,,,,shopify,2,DENY,,g,TRUE,manual,,,,https://www.zappstudios.us/_tmp/pecan-drop2/dbec56b9d398.jpg,,,,,,,,,,,,,,,,,
,shiloh-top,,,,,,,,SHILOH-TOP-PINK-S,,,Pink,,,S,,,,,140.00,,,TRUE,,,,,,shopify,1,DENY,,g,TRUE,manual,,,,https://www.zappstudios.us/_tmp/pecan-drop2/dbec56b9d398.jpg,,,,,,,,,,,,,,,,,
,shiloh-top,,,,,,,,SHILOH-TOP-PINK-M,,,Pink,,,M,,,,,140.00,,,TRUE,,,,,,shopify,1,DENY,,g,TRUE,manual,,,,https://www.zappstudios.us/_tmp/pecan-drop2/dbec56b9d398.jpg,,,,,,,,,,,,,,,,,
,shiloh-top,,,,,,,,SHILOH-TOP-PINK-L,,,Pink,,,L,,,,,140.00,,,TRUE,,,,,,shopify,5,DENY,,g,TRUE,manual,,,,https://www.zappstudios.us/_tmp/pecan-drop2/dbec56b9d398.jpg,,,,,,,,,,,,,,,,,
,shiloh-top,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.zappstudios.us/_tmp/pecan-drop2/98bc494d50b4.jpg,2,Shiloh (Top) 2,,,,,,,,,,,,,,,,,,
Shiloh (Bottom),shiloh-bottom,"<p>The Shiloh bottom, available in Yellow and Pink.</p>",Pecan Moon,Apparel & Accessories > Clothing > Pants,Bottom,"drop-2-launch, drop-2-draft",FALSE,draft,SHILOH-BOTTOM-YELLOW-M,,Color,Yellow,,Size,M,,,,,70.00,,,TRUE,,,,,,shopify,3,DENY,,g,TRUE,manual,https://www.zappstudios.us/_tmp/pecan-drop2/dbec56b9d398.jpg,1,Shiloh (Bottom),https://www.zappstudios.us/_tmp/pecan-drop2/dbec56b9d398.jpg,FALSE,Shiloh (Bottom) — Pecan Moon,"The Shiloh bottom, available in Yellow and Pink.",yellow; pink,,Female,Adult,,,,New,,,,,,
,shiloh-bottom,,,,,,,,SHILOH-BOTTOM-YELLOW-L,,,Yellow,,,L,,,,,70.00,,,TRUE,,,,,,shopify,2,DENY,,g,TRUE,manual,,,,https://www.zappstudios.us/_tmp/pecan-drop2/dbec56b9d398.jpg,,,,,,,,,,,,,,,,,
,shiloh-bottom,,,,,,,,SHILOH-BOTTOM-PINK-M,,,Pink,,,M,,,,,70.00,,,TRUE,,,,,,shopify,1,DENY,,g,TRUE,manual,,,,https://www.zappstudios.us/_tmp/pecan-drop2/dbec56b9d398.jpg,,,,,,,,,,,,,,,,,
,shiloh-bottom,,,,,,,,SHILOH-BOTTOM-PINK-L,,,Pink,,,L,,,,,70.00,,,TRUE,,,,,,shopify,5,DENY,,g,TRUE,manual,,,,https://www.zappstudios.us/_tmp/pecan-drop2/dbec56b9d398.jpg,,,,,,,,,,,,,,,,,
,shiloh-bottom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.zappstudios.us/_tmp/pecan-drop2/98bc494d50b4.jpg,2,Shiloh (Bottom) 2,,,,,,,,,,,,,,,,,,
Simone,simone,"<p>Simone, available in silver and black.</p>",Pecan Moon,Apparel & Accessories > Clothing > Dresses,Dress,"drop-2-launch, drop-2-draft",FALSE,draft,SIMONE-SILVER-S,,Color,Silver,,Size,S,,,,,225.00,,,TRUE,,,,,,shopify,1,DENY,,g,TRUE,manual,https://www.zappstudios.us/_tmp/pecan-drop2/8c3f2bafbbed.jpg,1,Simone,https://www.zappstudios.us/_tmp/pecan-drop2/8c3f2bafbbed.jpg,FALSE,Simone — Pecan Moon,"Simone, available in silver and black.",silver; black,,Female,Adult,,,,New,,,,,,
,simone,,,,,,,,SIMONE-SILVER-M,,,Silver,,,M,,,,,225.00,,,TRUE,,,,,,shopify,1,DENY,,g,TRUE,manual,,,,https://www.zappstudios.us/_tmp/pecan-drop2/8c3f2bafbbed.jpg,,,,,,,,,,,,,,,,,
,simone,,,,,,,,SIMONE-SILVER-L,,,Silver,,,L,,,,,225.00,,,TRUE,,,,,,shopify,1,DENY,,g,TRUE,manual,,,,https://www.zappstudios.us/_tmp/pecan-drop2/8c3f2bafbbed.jpg,,,,,,,,,,,,,,,,,
,simone,,,,,,,,SIMONE-BLACK-S,,,Black,,,S,,,,,225.00,,,TRUE,,,,,,shopify,3,DENY,,g,TRUE,manual,,,,https://www.zappstudios.us/_tmp/pecan-drop2/8c3f2bafbbed.jpg,,,,,,,,,,,,,,,,,
,simone,,,,,,,,SIMONE-BLACK-M,,,Black,,,M,,,,,225.00,,,TRUE,,,,,,shopify,3,DENY,,g,TRUE,manual,,,,https://www.zappstudios.us/_tmp/pecan-drop2/8c3f2bafbbed.jpg,,,,,,,,,,,,,,,,,
,simone,,,,,,,,SIMONE-BLACK-L,,,Black,,,L,,,,,225.00,,,TRUE,,,,,,shopify,1,DENY,,g,TRUE,manual,,,,https://www.zappstudios.us/_tmp/pecan-drop2/8c3f2bafbbed.jpg,,,,,,,,,,,,,,,,,
Willow (Top),willow-top,<p>The Willow top. A matching dress and turban are available in the same material. Sold separately from the Willow bottom.</p><p><strong>Materials:</strong> See product label.</p><p>True to size.</p>,Pecan Moon,Apparel & Accessories > Clothing > Shirts & Tops,Top,"drop-2-launch, drop-2-draft",FALSE,draft,WILLOW-TOP-S,,Size,S,,,,,,,,195.00,,,TRUE,,,,,,shopify,5,DENY,,g,TRUE,manual,https://www.zappstudios.us/_tmp/pecan-drop2/b0cef8a5221d.jpg,1,Willow (Top),https://www.zappstudios.us/_tmp/pecan-drop2/b0cef8a5221d.jpg,FALSE,Willow (Top) — Pecan Moon,The Willow top. A matching dress and turban are available in the same material. Sold separately from the Willow bottom. Materials: See product label. True to size.,,,Female,Adult,,,,New,,,,,,
,willow-top,,,,,,,,WILLOW-TOP-M,,,M,,,,,,,,195.00,,,TRUE,,,,,,shopify,5,DENY,,g,TRUE,manual,,,,https://www.zappstudios.us/_tmp/pecan-drop2/b0cef8a5221d.jpg,,,,,,,,,,,,,,,,,
,willow-top,,,,,,,,WILLOW-TOP-L,,,L,,,,,,,,195.00,,,TRUE,,,,,,shopify,1,DENY,,g,TRUE,manual,,,,https://www.zappstudios.us/_tmp/pecan-drop2/b0cef8a5221d.jpg,,,,,,,,,,,,,,,,,
,willow-top,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.zappstudios.us/_tmp/pecan-drop2/8bedf93e5d49.jpg,2,Willow (Top) 2,,,,,,,,,,,,,,,,,,
,willow-top,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.zappstudios.us/_tmp/pecan-drop2/c4b260b99073.jpg,3,Willow (Top) 3,,,,,,,,,,,,,,,,,,
,willow-top,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.zappstudios.us/_tmp/pecan-drop2/300df881caae.jpg,4,Willow (Top) 4,,,,,,,,,,,,,,,,,,
Willow (Bottom),willow-bottom,<p>The Willow bottom — sold separately from the top. Offered in the matching print and in White.</p><p><strong>Materials:</strong> See product label.</p><p>True to size.</p>,Pecan Moon,Apparel & Accessories > Clothing > Pants,Bottom,"drop-2-launch, drop-2-draft",FALSE,draft,WILLOW-BOTTOM-MATCHING-S,,Color,Matching,,Size,S,,,,,95.00,,,TRUE,,,,,,shopify,4,DENY,,g,TRUE,manual,https://www.zappstudios.us/_tmp/pecan-drop2/b0cef8a5221d.jpg,1,Willow (Bottom),https://www.zappstudios.us/_tmp/pecan-drop2/b0cef8a5221d.jpg,FALSE,Willow (Bottom) — Pecan Moon,The Willow bottom — sold separately from the top. Offered in the matching print and in White. Materials: See product label. True to size.,white,,Female,Adult,,,,New,,,,,,
,willow-bottom,,,,,,,,WILLOW-BOTTOM-MATCHING-M,,,Matching,,,M,,,,,95.00,,,TRUE,,,,,,shopify,6,DENY,,g,TRUE,manual,,,,https://www.zappstudios.us/_tmp/pecan-drop2/b0cef8a5221d.jpg,,,,,,,,,,,,,,,,,
,willow-bottom,,,,,,,,WILLOW-BOTTOM-MATCHING-L,,,Matching,,,L,,,,,95.00,,,TRUE,,,,,,shopify,1,DENY,,g,TRUE,manual,,,,https://www.zappstudios.us/_tmp/pecan-drop2/b0cef8a5221d.jpg,,,,,,,,,,,,,,,,,
,willow-bottom,,,,,,,,WILLOW-BOTTOM-WHITE-S,,,White,,,S,,,,,95.00,,,TRUE,,,,,,shopify,3,DENY,,g,TRUE,manual,,,,https://www.zappstudios.us/_tmp/pecan-drop2/b0cef8a5221d.jpg,,,,,,,,,,,,,,,,,
,willow-bottom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.zappstudios.us/_tmp/pecan-drop2/8bedf93e5d49.jpg,2,Willow (Bottom) 2,,,,,,,,,,,,,,,,,,
,willow-bottom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.zappstudios.us/_tmp/pecan-drop2/c4b260b99073.jpg,3,Willow (Bottom) 3,,,,,,,,,,,,,,,,,,
,willow-bottom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.zappstudios.us/_tmp/pecan-drop2/300df881caae.jpg,4,Willow (Bottom) 4,,,,,,,,,,,,,,,,,,
